en,es,
audio,¿cuál?,
display,,
input,,
gameplay,,
sfx,,
music,,
ambience,,
mute speaking sfx,,
fullscreen,,
windowed,,
action,,
current,,
edit,,
slot {number},,
show dialogue skip button,,
disable clicky burying,,
use autoclicker,,
quit,,
reset to default,,
autoclicker will make the lategame slower,,
hit this asteroid using [left-click] or [spacebar],,
minerals collect automatically,,
hit {number} or more asteroids at once for {number} damage,,
next,,
continue saved game,,
"hmm, I'm sure that was nothing",,
uh oh,,
the ring around the asteroid represents its HP,,
multihit,,
fuel capacity,,
thruster speed,,
mineral value,,
skip,,
yo,,
what?,,
what's your deal?,,
nice coat,,
"thanks, ayi made it for me",,
who's that?,,
nice,,
"my name's lishan, i'm a scientist",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
